Episode,Loss
396,19953043.33203125
397,18331404.66015625
398,19014062.966796875
399,19669632.2890625
400,19707993.69140625
401,18540330.8515625
402,18874481.341796875
403,18812585.783203125
404,18342313.49609375
405,17715168.99609375
406,17756082.642578125
407,18806394.375
408,18305506.025390625
409,16347024.83984375
410,16306630.3828125
411,16906892.203125
412,16309660.88671875
413,16851945.224609375
414,16576140.892578125
415,16125856.1171875
416,17182623.1484375
417,16230928.322265625
418,17545917.021484375
419,18093134.6171875
420,18101770.619140625
421,18098930.748046875
422,17363056.75
423,16426602.533203125
424,16759280.375
425,16558067.140625
426,17419349.880859375
427,17330611.154296875
428,16840325.576171875
429,17836791.87109375
430,20359671.833984375
431,20799089.376953125
432,20937630.357421875
433,19670811.685546875
434,21121512.798828125
435,21963395.505859375
436,21291671.224609375
437,20736400.201171875
438,22504108.0859375
439,21207889.068359375
440,23983287.921875
441,23066232.439453125
442,23699844.61328125
443,24121399.62109375
444,22930675.291015625
445,22809365.6875
446,24781126.015625
447,24785976.478515625
448,26028182.53515625
449,25671867.376953125
450,24739075.8359375
451,25322643.7578125
452,24533925.27734375
453,25426537.021484375
454,23923641.875
455,24156893.73046875
456,23686626.4453125
457,25036077.28125
458,23841613.1484375
459,22671943.935546875
460,24284054.943359375
461,24866659.53125
462,25072180.328125
463,23202934.623046875
464,23473689.876953125
465,21925649.54296875
466,21674550.822265625
467,23717903.984375
468,25905793.46484375
469,25249440.91015625
470,24741087.7421875
471,24233890.91015625
472,24251441.0859375
473,23129581.017578125
474,23308795.27734375
475,24391761.861328125
476,25161908.189453125
477,26138183.314453125
478,25443944.7265625
479,24730921.751953125
480,25758722.87890625
481,25923932.60546875
482,27102392.478515625
483,28082640.322265625
484,28745417.03515625
485,28761276.28515625
486,30201853.86328125
487,28311582.61328125
488,28559162.41015625
489,28292117.26171875
490,30266699.111328125
491,30131145.41015625
492,30526610.1484375
493,30067277.57421875
494,31551474.48046875
495,32194907.1875
496,31269401.5546875
497,33756285.609375
498,31513554.5625
499,28573537.74609375
500,30539702.453125
501,30450907.09765625
502,29826654.68359375
503,29891872.62890625
504,31626160.0625
505,33996125.40625
506,33643560.78125
507,34580761.12890625
508,35374344.828125
509,38681604.4296875
510,37865381.75
511,36993617.19140625
512,36599071.05859375
513,37723429.83984375
514,36713651.33984375
515,36352003.80859375
516,37398912.29296875
517,39698261.12109375
518,41759122.7109375
519,42646738.30078125
520,40793403.078125
521,40638856.21484375
522,40938399.08984375
523,38324631.65625
524,40420971.12890625
525,43074625.109375
526,40035089.6796875
527,38523872.595703125
528,38338028.08984375
529,37705750.6953125
530,40403241.01171875
531,39803649.0703125
532,38596955.12109375
533,40721725.7734375
534,39859593.44921875
535,40089252.1875
536,38436351.7421875
537,38111820.53515625
538,37848424.77734375
539,40345161.240234375
540,40863172.6796875
541,40393258.49609375
