Episode,Step,d1p,d2p,d3p,A,B,CRI,x,y,Reward,Action
1,74,33.0,14.0,27.0,92.05612482644017,4.329872052863483,97.01519354315795,0.31106550168684094,0.3279963506212919,5,"['d2', 'backward']"
1,75,34.0,14.0,27.0,91.76992379162317,4.360333625349315,96.72768934466798,0.31144269026580346,0.32767069033770935,-5,"['d1', 'forward']"
1,76,33.0,14.0,27.0,92.05612482644017,4.329872052863483,97.01519354315795,0.31106550168684094,0.3279963506212919,5,"['d1', 'backward']"
1,77,34.0,14.0,27.0,91.76992379162317,4.360333625349315,96.72768934466798,0.31144269026580346,0.32767069033770935,-5,"['d1', 'forward']"
1,78,34.0,13.0,27.0,91.73781763220295,4.252678764918809,95.98980392086138,0.3141884975085765,0.3285470591209287,-5,"['d2', 'backward']"
1,79,34.0,13.0,26.0,91.38372857989042,4.238493130841875,96.25886329691998,0.3144883088773156,0.3293505953404488,-5,"['d3', 'backward']"
1,80,34.0,13.0,25.0,90.9907766684105,4.222201633662017,96.52775169552744,0.31477898356780853,0.33016721694872425,-5,"['d3', 'backward']"
1,81,34.0,13.0,26.0,91.38372857989042,4.238493130841875,96.25886329691998,0.3144883088773156,0.3293505953404488,5,"['d3', 'forward']"
1,82,34.0,13.0,25.0,90.9907766684105,4.222201633662017,96.52775169552744,0.31477898356780853,0.33016721694872425,-5,"['d3', 'backward']"
1,83,34.0,13.0,24.0,90.5610143700696,4.203957454299824,96.7937161348857,0.3150577862791935,0.3309910071855685,-5,"['d3', 'backward']"
1,84,33.0,13.0,24.0,91.02416764579402,4.17111454573328,97.08169057281586,0.314592229127287,0.33128456169329057,5,"['d1', 'backward']"
1,85,32.0,13.0,24.0,91.42162727038593,4.135132578276579,97.35213934469199,0.3140668854707503,0.3315234833947887,5,"['d1', 'backward']"
1,86,32.0,12.0,24.0,91.31801726787762,4.008842583354073,98.20199851523462,0.31720017744828527,0.3327008053566476,-5,"['d2', 'backward']"
1,87,32.0,11.0,24.0,90.67101008282614,3.868763441700207,97.34575620597518,0.31985170729584544,0.3335575601618746,-5,"['d2', 'backward']"
1,88,31.0,11.0,24.0,91.13691859221656,3.8300717708554584,97.65289039746992,0.3196779450177556,0.33402912642639293,5,"['d1', 'backward']"
1,89,32.0,11.0,24.0,90.67101008282614,3.868763441700207,97.34575620597518,0.31985170729584544,0.3335575601618746,-5,"['d1', 'forward']"
1,90,32.0,11.0,25.0,90.80391594061483,3.8903805586104454,97.06924483943735,0.3195245513517351,0.332712539719461,5,"['d3', 'forward']"
1,91,33.0,11.0,25.0,90.3352640934575,3.926522308798872,96.7631611252439,0.31954294131430055,0.3321258786068507,-5,"['d1', 'forward']"
1,92,34.0,11.0,25.0,89.82696793885559,3.959947930510006,96.456911472205,0.319506081497552,0.33150018876326537,-5,"['d1', 'forward']"
1,93,34.0,10.0,25.0,88.49761152060181,3.8070193374986347,95.7397209883917,0.3211569839229165,0.33177531419914497,-5,"['d2', 'backward']"
1,94,33.0,10.0,25.0,89.02496655952838,3.7731512060869816,96.02199688089469,0.32137317437684854,0.33250515465845343,5,"['d1', 'backward']"
1,95,33.0,10.0,26.0,89.08537211330632,3.795213558192143,95.76549431963622,0.32080604095875054,0.3315179420358379,5,"['d3', 'forward']"
1,96,33.0,9.0,26.0,87.22004325394327,3.6278234536672422,95.14513561615398,0.32201615249179466,0.331586103000759,-5,"['d2', 'backward']"
1,97,32.0,9.0,26.0,87.68642115898277,3.5914336142890257,95.40016273454667,0.3224202787557695,0.3324221993084957,5,"['d1', 'backward']"
1,98,33.0,9.0,26.0,87.22004325394327,3.6278234536672422,95.14513561615398,0.32201615249179466,0.331586103000759,-5,"['d1', 'forward']"
1,99,33.0,9.0,27.0,87.1948237404085,3.6506909870288125,94.90846983206185,0.321313561725442,0.33053246505454076,-5,"['d3', 'forward']"
1,100,33.0,9.0,26.0,87.22004325394327,3.6278234536672422,95.14513561615398,0.32201615249179466,0.331586103000759,5,"['d3', 'backward']"
1,101,33.0,10.0,26.0,89.08537211330632,3.795213558192143,95.76549431963622,0.32080604095875054,0.3315179420358379,5,"['d2', 'forward']"
1,102,33.0,10.0,25.0,89.02496655952838,3.7731512060869816,96.02199688089469,0.32137317437684854,0.33250515465845343,-5,"['d3', 'backward']"
1,103,33.0,11.0,25.0,90.3352640934575,3.926522308798872,96.7631611252439,0.31954294131430055,0.3321258786068507,5,"['d2', 'forward']"
1,104,33.0,11.0,24.0,90.16102566330956,3.9049286012885625,97.03596384913187,0.3199657042770269,0.33303777871440926,-5,"['d3', 'backward']"
1,105,34.0,11.0,24.0,89.6096159689258,3.938549201942435,96.72469277282941,0.32001955571748586,0.3324719298744187,-5,"['d1', 'forward']"
1,106,33.0,11.0,24.0,90.16102566330956,3.9049286012885625,97.03596384913187,0.3199657042770269,0.33303777871440926,5,"['d1', 'backward']"
1,107,34.0,11.0,24.0,89.6096159689258,3.938549201942435,96.72469277282941,0.32001955571748586,0.3324719298744187,-5,"['d1', 'forward']"
1,108,35.0,11.0,24.0,89.01958891864834,3.9696306161844563,96.41306850051497,0.32001316023700593,0.33186226342916225,-5,"['d1', 'forward']"
1,109,35.0,11.0,25.0,89.28154686888334,3.9906768808693918,96.15158805395481,0.31941425259574313,0.3308379115732403,5,"['d3', 'forward']"
1,110,34.0,11.0,25.0,89.82696793885559,3.959947930510006,96.456911472205,0.319506081497552,0.33150018876326537,5,"['d1', 'backward']"
1,111,34.0,10.0,25.0,88.49761152060181,3.8070193374986347,95.7397209883917,0.3211569839229165,0.33177531419914497,-5,"['d2', 'backward']"
1,112,35.0,10.0,25.0,87.94452646101195,3.8384764480523836,95.45928249287512,0.3208881048261323,0.33101144020930984,-5,"['d1', 'forward']"
1,113,35.0,10.0,24.0,87.77345892835552,3.81569329740641,95.70758421596871,0.32158790622399186,0.3320895869884988,-5,"['d3', 'backward']"
1,114,35.0,9.0,24.0,86.06565463392826,3.6458604726862616,95.10511409669652,0.3226740808966392,0.3320801832535362,-5,"['d2', 'backward']"
1,115,35.0,9.0,25.0,86.15711070944222,3.670412709400283,94.87187787095516,0.32188434251186204,0.3309585786155195,5,"['d3', 'forward']"
1,116,35.0,10.0,25.0,87.94452646101195,3.8384764480523836,95.45928249287512,0.3208881048261323,0.33101144020930984,5,"['d2', 'forward']"
1,117,35.0,9.0,25.0,86.15711070944222,3.670412709400283,94.87187787095516,0.32188434251186204,0.3309585786155195,-5,"['d2', 'backward']"
1,118,35.0,9.0,26.0,86.24123814027296,3.6938166353423796,94.64287799394947,0.32106984707620234,0.32982951469103466,5,"['d3', 'forward']"
1,119,36.0,9.0,26.0,85.73224729568926,3.7233806655044983,94.39717327938709,0.3205313035411324,0.3289147611125341,-5,"['d1', 'forward']"
1,120,36.0,9.0,27.0,85.86061224376625,3.7447720192038196,94.18167988689994,0.31963728452900525,0.3277547144129311,5,"['d3', 'forward']"
1,121,36.0,8.0,27.0,83.5788631717637,3.565504318700269,93.75536629527014,0.31987759431345153,0.32733945991649777,-5,"['d2', 'backward']"
1,122,36.0,8.0,26.0,83.50449010943973,3.541715909036467,93.95767104169467,0.3208470939396672,0.3285419946725499,-5,"['d3', 'backward']"
1,123,35.0,8.0,26.0,83.98368926934933,3.511052285874452,94.18106301330404,0.32151402923525263,0.3295266465407156,5,"['d1', 'backward']"
1,124,36.0,8.0,26.0,83.50449010943973,3.541715909036467,93.95767104169467,0.3208470939396672,0.3285419946725499,-5,"['d1', 'forward']"
1,125,36.0,9.0,26.0,85.73224729568926,3.7233806655044983,94.39717327938709,0.3205313035411324,0.3289147611125341,5,"['d2', 'forward']"
1,126,36.0,9.0,25.0,85.59789859259024,3.7004553214699945,94.61928904042051,0.32140913322032383,0.3300792061233439,-5,"['d3', 'backward']"
1,127,35.0,9.0,25.0,86.15711070944222,3.670412709400283,94.87187787095516,0.32188434251186204,0.3309585786155195,5,"['d1', 'backward']"
1,128,34.0,9.0,25.0,86.70315621394082,3.638243429072265,95.12736158026847,0.32231137187144865,0.3318084113634687,5,"['d1', 'backward']"
1,129,33.0,9.0,25.0,87.23409002289739,3.6039700575849003,95.38501137441611,0.3226885834249827,0.33262604732676343,5,"['d1', 'backward']"
1,130,33.0,8.0,25.0,85.00478486163362,3.418072074021393,94.860419963621,0.3234893090091965,0.3325060158070311,-5,"['d2', 'backward']"
1,131,33.0,7.0,25.0,82.39050994830548,3.214803791996263,94.45064863460993,0.3237909450237979,0.3321630976338502,-5,"['d2', 'backward']"
1,132,33.0,8.0,25.0,85.00478486163362,3.418072074021393,94.860419963621,0.3234893090091965,0.3325060158070311,5,"['d2', 'forward']"
1,133,34.0,8.0,25.0,84.4851058941311,3.4527202431448436,94.62657575811848,0.3229716083592725,0.33161536176558337,-5,"['d1', 'forward']"
1,134,34.0,8.0,26.0,84.45938945747832,3.4783763066635878,94.4080321620402,0.32214098850780654,0.3304884382920755,-5,"['d3', 'forward']"
1,135,34.0,7.0,26.0,81.82278300713666,3.277429003011354,94.0362401441222,0.32225471390000765,0.33005606699981843,-5,"['d2', 'backward']"
1,136,33.0,7.0,26.0,82.26963592358933,3.242278433316222,94.24519084068713,0.3229522516024514,0.33105017325926195,5,"['d1', 'backward']"
1,137,32.0,7.0,26.0,82.71873175727073,3.205584548295562,94.45603467445282,0.3236081220181119,0.33201571697647664,5,"['d1', 'backward']"
1,138,32.0,7.0,27.0,82.55275596972037,3.2324857724212404,94.24993304419327,0.32279869858916777,0.3309264538110772,-5,"['d3', 'forward']"
1,139,32.0,8.0,27.0,85.26729835255001,3.4321304621122612,94.64636217188068,0.32253906235276125,0.33127892045706636,5,"['d2', 'forward']"
1,140,31.0,8.0,27.0,85.67570207683576,3.3935581061241122,94.8768675911012,0.32310550718079767,0.33220575544279335,5,"['d1', 'backward']"
1,141,30.0,8.0,27.0,86.07618832821096,3.3530574483415068,95.10909672014601,0.3236281822416591,0.3331034502031232,5,"['d1', 'backward']"
1,142,31.0,8.0,27.0,85.67570207683576,3.3935581061241122,94.8768675911012,0.32310550718079767,0.33220575544279335,-5,"['d1', 'forward']"
1,143,31.0,9.0,27.0,88.01240438597154,3.575809898970937,95.41095602570259,0.32222641985161193,0.3322743963711864,5,"['d2', 'forward']"
1,144,31.0,9.0,28.0,87.87492278452382,3.597975488054591,95.16731994604284,0.3216407162389931,0.33130198094718905,-5,"['d3', 'forward']"
1,145,31.0,9.0,27.0,88.01240438597154,3.575809898970937,95.41095602570259,0.32222641985161193,0.3322743963711864,5,"['d3', 'backward']"
1,146,30.0,9.0,27.0,88.39522375397996,3.5348494552732244,95.66519302591311,0.3226158549026703,0.33310331028484264,5,"['d1', 'backward']"
1,147,30.0,10.0,27.0,90.25802171571891,3.7001219864861175,96.33582379476353,0.3210599985244912,0.3328407664436077,5,"['d2', 'forward']"
1,148,29.0,10.0,27.0,90.5771399244342,3.6561450990522952,96.6123766004746,0.32125024954150994,0.33355382031215763,5,"['d1', 'backward']"
1,149,28.0,10.0,27.0,90.86485940764052,3.609638521476988,96.88840741882106,0.32139247759422196,0.33423210631070976,5,"['d1', 'backward']"
1,150,29.0,10.0,27.0,90.5771399244342,3.6561450990522952,96.6123766004746,0.32125024954150994,0.33355382031215763,-5,"['d1', 'forward']"
1,151,29.0,11.0,27.0,91.8780342868862,3.8051665508726744,97.40628565847035,0.31898577595043676,0.33290786720379845,5,"['d2', 'forward']"
1,152,29.0,11.0,28.0,91.78461061265146,3.8235165638445974,97.11917795159302,0.3188492225044908,0.3322107579687311,-5,"['d3', 'forward']"
1,153,29.0,12.0,28.0,92.63100637845551,3.956381243254159,97.98188142866296,0.3162112110821875,0.3313503393749319,5,"['d2', 'forward']"
1,154,29.0,13.0,28.0,92.93190355138444,4.0758554940733225,97.13819045502623,0.3130851741532622,0.33017065829317843,5,"['d2', 'forward']"
1,155,29.0,14.0,28.0,92.69078409499664,4.182932631290912,97.72444479267779,0.30952012357349357,0.32865957785004235,-5,"['d2', 'forward']"
1,156,29.0,14.0,29.0,92.83390552906077,4.194420418243462,97.55376598878976,0.30985025246722236,0.32830879478471053,5,"['d3', 'forward']"
1,157,28.0,14.0,29.0,92.69078409499664,4.1450814997813605,97.72444479267782,0.30952012357349357,0.32865957785004235,-5,"['d1', 'backward']"
1,158,27.0,14.0,29.0,92.48159867885923,4.0913573832992665,97.8094251489966,0.30916688923436814,0.32899170319668014,-5,"['d1', 'backward']"
1,159,28.0,14.0,29.0,92.69078409499664,4.1450814997813605,97.72444479267782,0.30952012357349357,0.32865957785004235,5,"['d1', 'forward']"
1,160,27.0,14.0,29.0,92.48159867885923,4.0913573832992665,97.8094251489966,0.30916688923436814,0.32899170319668014,-5,"['d1', 'backward']"
1,161,27.0,13.0,29.0,92.83216956663118,3.9872937047179984,97.3889013795095,0.3128976582058702,0.33064131761918586,5,"['d2', 'backward']"
1,162,27.0,13.0,28.0,92.8625246667491,3.9734998022128303,97.61781628646052,0.3125176115492855,0.3309619623805772,5,"['d3', 'backward']"
1,163,27.0,12.0,28.0,92.7622687009464,3.8557527708163546,96.98415859255226,0.3159889943128624,0.3324008479931053,-5,"['d2', 'backward']"
1,164,27.0,11.0,28.0,92.09376407851319,3.724916839686932,97.6997348697839,0.3189620006207605,0.33348509058144504,-5,"['d2', 'backward']"
1,165,27.0,11.0,27.0,92.26592502094336,3.7071175933493454,97.98998026449657,0.31889154337357156,0.3340247168907323,5,"['d3', 'backward']"
1,166,28.0,11.0,27.0,92.09376407851316,3.7575596722118947,97.69973486978391,0.3189620006207605,0.333485090581445,-5,"['d1', 'forward']"
1,167,28.0,11.0,26.0,92.18657143737536,3.7386401030798884,97.9862316312767,0.31895353949714617,0.3340725684338708,5,"['d3', 'backward']"
1,168,28.0,11.0,27.0,92.09376407851316,3.7575596722118947,97.69973486978391,0.3189620006207605,0.333485090581445,-5,"['d3', 'forward']"
1,169,29.0,11.0,27.0,91.8780342868862,3.8051665508726744,97.40628565847035,0.31898577595043676,0.33290786720379845,-5,"['d1', 'forward']"
1,170,29.0,11.0,28.0,91.78461061265146,3.8235165638445974,97.11917795159302,0.3188492225044908,0.3322107579687311,-5,"['d3', 'forward']"
1,171,30.0,11.0,28.0,91.56967594366434,3.868138362925467,96.82750726294384,0.31872889563506696,0.3315295732914163,-5,"['d1', 'forward']"
1,172,31.0,11.0,28.0,91.31577253545952,3.9095515856135794,96.53645114834858,0.3185668590711544,0.3308230053622754,-5,"['d1', 'forward']"
1,173,31.0,12.0,28.0,92.29735218400312,4.042923103196579,97.36973572815408,0.31627559848530384,0.330188655368196,5,"['d2', 'forward']"
1,174,31.0,11.0,28.0,91.31577253545952,3.9095515856135794,96.53645114834858,0.3185668590711544,0.3308230053622754,-5,"['d2', 'backward']"
